Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,HSOC Zones as of 2018-06-05,OWED Public Spaces,Central Market/Tenderloin Boundary Polygon - Updated,Parks Alliance CPSI (27+TL sites),ESNCAG - Boundary File,"Areas of Vulnerability, 2016"
15/08/20 16:24,15/08/20,16:24,2020,Saturday,15/08/20 16:24,95316506363,953165,200489062,202282409,IS,Initial Supplement,,6363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Cite or Arrest Adult,MISSION ST \ FREMONT ST,24560000,Ingleside,Financial District/South Beach,6,37.79046107,-122.3966897,"(37.79046106747903, -122.39668969554637)",108,1,10,8,,,,,,1
16/08/20 16:14,16/08/20,16:14,2020,Sunday,16/08/20 16:27,95333328160,953333,200492786,202292087,II,Initial,,28160,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Vehicle",Open or Active,HYDE ST \ BUSH ST,25174000,Central,Nob Hill,3,37.78911017,-122.4170169,"(37.789110174829865, -122.41701687926658)",50,6,3,21,,,,,,1
16/08/20 10:50,16/08/20,10:50,2020,Sunday,16/08/20 10:58,95328906303,953289,200492156,202291086,II,Initial,,6303,Larceny Theft,Larceny Theft - From Building,"Theft, From Building, $200-$950",Open or Active,OCTAVIA ST \ LOMBARD ST,26721000,Northern,Marina,2,37.80067841,-122.4294709,"(37.80067840662268, -122.42947088544138)",17,4,6,13,,,,,,1
16/08/20 11:45,16/08/20,11:45,2020,Sunday,16/08/20 12:29,95330172000,953301,200492231,202291355,II,Initial,,72000,Non-Criminal,Non-Criminal,Found  Property,Open or Active,FILLMORE ST \ CALIFORNIA ST,26611000,Northern,Pacific Heights,2,37.78890628,-122.4338397,"(37.7889062829483, -122.43383965518827)",103,4,6,30,,,,,,1
16/08/20 12:46,16/08/20,12:46,2020,Sunday,16/08/20 12:46,95332864020,953328,200492338,202291417,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,OFARRELL ST \ SHANNON ST,24944000,Tenderloin,Tenderloin,6,37.78589293,-122.4121475,"(37.78589292711297, -122.41214750780264)",20,5,10,36,,,1,,,2
16/08/20 15:47,16/08/20,15:47,2020,Sunday,16/08/20 15:49,95336415015,953364,200492667,202292013,II,Initial,,15015,Family Offense,Child Abuse,"Child, Inflicting Physical Pain, Mental Suffering, or Death",Open or Active,HEMLOCK ST \ LAGUNA ST,26523000,Northern,Japantown,5,37.78624658,-122.4282415,"(37.786246576578144, -122.42824149689217)",101,4,11,15,,,,,,2
10/08/20 0:00,10/08/20,0:00,2020,Monday,14/08/20 16:51,95323206374,953232,206121476,,II,Coplogic Initial,true,6374,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, >$950",Open or Active,GEARY BLVD \ BLAKE ST,26909000,Richmond,Lone Mountain/USF,1,37.78198412,-122.4511199,"(37.78198411507612, -122.45111986144946)",12,8,4,18,,,,,,1
16/08/20 15:50,16/08/20,15:50,2020,Sunday,16/08/20 17:19,95335206244,953352,200492918,202292286,II,Initial,,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,WEBSTER ST \ POST ST,26591000,Northern,Japantown,5,37.78537265,-122.4313664,"(37.78537264618818, -122.43136639807875)",101,4,11,15,,,,,,2
07/08/20 13:45,07/08/20,13:45,2020,Friday,14/08/20 17:03,95324706244,953247,200472813,,IS,Coplogic Supplement,true,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,FILLMORE ST \ HAIGHT ST,25899000,Northern,Hayes Valley,5,37.77210826,-122.4304339,"(37.77210825726729, -122.43043391908799)",26,4,11,9,,,,,,1
14/08/20 17:45,14/08/20,17:45,2020,Friday,14/08/20 22:04,95321006244,953210,206121545,,II,Coplogic Initial,true,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,GOUGH ST \ HAIGHT ST \ MARKET ST,30753000,Northern,Hayes Valley,5,37.77303605,-122.4219412,"(37.77303605003146, -122.42194124860255)",26,1,11,9,1,,,,,1
16/08/20 7:11,16/08/20,7:11,2020,Sunday,16/08/20 7:59,95327128100,953271,200491885,202290739,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,VALENCIA ST \ MISSION ST,21338000,Ingleside,Bernal Heights,9,37.74538902,-122.4200191,"(37.74538901941569, -122.42001912851097)",83,9,2,2,,,,,,1
07/08/20 20:30,07/08/20,20:30,2020,Friday,16/08/20 21:20,95339305013,953393,200493342,202291359,II,Initial,,5013,Burglary,Burglary - Residential,"Burglary, Apartment House, Unlawful Entry",Open or Active,ALBION ST \ 16TH ST,25699000,Mission,Mission,8,37.7648433,-122.4231124,"(37.76484329795315, -122.42311242181232)",37,3,5,20,,,,,,2
16/08/20 1:32,16/08/20,1:32,2020,Sunday,16/08/20 1:50,95318926030,953189,200491584,202290209,II,Initial,,26030,Arson,Arson,Arson,Open or Active,LARKIN ST \ CALIFORNIA ST,25294000,Central,Nob Hill,3,37.79078805,-122.4190362,"(37.79078805361173, -122.41903621239146)",105,6,3,21,,,,,,1
16/08/20 15:00,16/08/20,15:00,2020,Sunday,16/08/20 16:15,95333806243,953338,200492770,202292139,II,Initial,,6243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,UNION ST \ POWELL ST,25423000,Central,Chinatown,3,37.80023916,-122.4108336,"(37.800239158433, -122.41083364012503)",107,6,3,6,,17,,,,2
16/08/20 18:15,16/08/20,18:15,2020,Sunday,16/08/20 18:25,95341403074,953414,200493091,202292457,II,Initial,,3074,Robbery,Robbery - Other,"Robbery, W/ Force",Open or Active,GEARY BLVD \ COLLINS ST,26908000,Richmond,Lone Mountain/USF,1,37.7821166,-122.4500923,"(37.782116602343244, -122.45009230346619)",12,8,4,18,,,,,,1
15/08/20 22:30,15/08/20,22:30,2020,Saturday,16/08/20 6:30,95325774000,953257,200491813,202290621,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,26TH ST \ SAN JOSE AVE,33363000,Mission,Mission,8,37.74885044,-122.4212845,"(37.74885044177842, -122.42128446199904)",53,3,5,20,,,,,,1
12/08/20 17:40,12/08/20,17:40,2020,Wednesday,13/08/20 8:37,95321506244,953215,206121573,,II,Coplogic Initial,true,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,NATOMA ST \ 11TH ST,24355000,Southern,South of Market,6,37.77353238,-122.4161042,"(37.773532375271806, -122.41610416294883)",32,1,10,34,1,,1,,,2
16/08/20 5:53,16/08/20,5:53,2020,Sunday,16/08/20 6:28,95325828100,953258,200491794,202290607,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Cite or Arrest Adult,STOCKTON ST \ STOCKTON TUNL \ SUTTER ST,24910000,Central,Financial District/South Beach,3,37.78943368,-122.406957,"(37.78943368124484, -122.40695698813221)",19,6,3,8,,,,,,2
12/08/20 13:00,12/08/20,13:00,2020,Wednesday,12/08/20 22:53,95324206244,953242,206121642,,II,Coplogic Initial,true,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Southern,,,,,,,,,,,,,,,
27/02/20 22:11,27/02/20,22:11,2020,Thursday,16/08/20 10:00,95335575030,953355,200492601,202291952,II,Initial,,75030,Case Closure,Case Closure,Case Closure,Cite or Arrest Adult,TAYLOR ST \ NORTH POINT ST,25592000,Central,North Beach,3,37.80634343,-122.4154316,"(37.8063434285485, -122.41543157088526)",99,6,3,23,,,,,,2
13/08/20 10:19,13/08/20,10:19,2020,Thursday,16/08/20 17:40,95338005041,953380,200485355,202261028,IS,Initial Supplement,,5041,Burglary,Burglary - Residential,"Burglary, Residence, Forcible Entry",Open or Active,WALLER ST \ CARMELITA ST,25998000,Park,Haight Ashbury,8,37.77064605,-122.4344045,"(37.770646047967126, -122.43440451408435)",28,7,5,3,,,,,,1
16/08/20 3:23,16/08/20,3:23,2020,Sunday,16/08/20 3:25,95320260190,953202,200491697,202290324,II,Initial,,60190,Suicide,Suicide,Suicide By Strangulation/Hanging,Open or Active,WILLOW ST \ FRANKLIN ST,25188000,Northern,Western Addition,5,37.78315143,-122.422558,"(37.78315142705044, -122.4225579822023)",100,4,11,39,,,,,,2
16/08/20 14:37,16/08/20,14:37,2020,Sunday,16/08/20 14:44,95332415200,953324,200492576,202291804,II,Initial,,15200,Offences Against The Family And Children,Other,Domestic Violence (secondary only),Cite or Arrest Adult,EL CAMINO DEL MAR \ 26TH AVE,27668000,Richmond,Seacliff,2,37.7875617,-122.486359,"(37.78756170061662, -122.48635895842445)",1,8,6,33,,,,,,1
16/08/20 22:36,16/08/20,22:36,2020,Sunday,16/08/20 22:37,95341207041,953412,200490495,202281947,VS,Vehicle Supplement,,7041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,VAN NESS AVE \ AUSTIN ST,30075000,Northern,Western Addition,2,37.78894262,-122.4221454,"(37.788942623294176, -122.42214537963808)",100,4,6,39,,,,,,1
16/08/20 17:17,16/08/20,17:17,2020,Sunday,16/08/20 17:17,95334907041,953349,200492930,202292280,VI,Vehicle Initial,,7041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,WILLARD ST NORTH \ GOLDEN GATE AVE \ WILLARD ST,27205000,Richmond,Lone Mountain/USF,1,37.77682503,-122.4567459,"(37.77682502502754, -122.4567459020762)",12,8,4,18,,,,,,1
15/08/20 12:43,15/08/20,12:43,2020,Saturday,15/08/20 12:58,95308712030,953087,200490354,202281583,II,Initial,,12030,Weapons Offense,Weapons Offense,"Weapon, Deadly, Imitation or Laser Scope, Exhibiting",Open or Active,GENEVA AVE \ LONDON ST,21475000,Ingleside,Excelsior,11,37.71603882,-122.4402551,"(37.716038818883085, -122.44025513581519)",58,9,1,7,,,,,,2
13/08/20 12:00,13/08/20,12:00,2020,Thursday,16/08/20 17:00,95336128150,953361,200493041,202292442,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,WASHINGTON ST \ WALNUT ST,26954000,Richmond,Presidio Heights,2,37.78972679,-122.4490116,"(37.789726785514695, -122.4490115651793)",10,8,6,31,,,,,,1
16/08/20 1:02,16/08/20,1:02,2020,Sunday,16/08/20 1:06,95318864085,953188,200491562,202290130,II,Initial,,64085,Other Miscellaneous,Other,Investigative Detention,Open or Active,SUTTER ST \ JONES ST,24959000,Central,Nob Hill,3,37.7885982,-122.4135414,"(37.7885982027112, -122.41354144348315)",50,6,3,21,,,,,,2
14/08/20 18:00,14/08/20,18:00,2020,Friday,14/08/20 21:53,95324306244,953243,206121658,,II,Coplogic Initial,true,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,TEHAMA ST \ MALDEN ALY,24538000,Southern,Financial District/South Beach,6,37.7865938,-122.3973805,"(37.786593795109404, -122.39738048935916)",32,1,10,8,,,,,,1
19/03/20 22:00,19/03/20,22:00,2020,Thursday,16/08/20 22:40,95338371013,953383,200493251,202292833,VI,Vehicle Initial,,71013,Larceny Theft,Theft From Vehicle,"License Plate, Stolen",Open or Active,MORSE ST \ ROLPH ST,21429000,Ingleside,Excelsior,11,37.71366308,-122.4368943,"(37.71366308072168, -122.43689432895559)",58,9,1,7,,,,,,2
06/08/20 17:00,06/08/20,17:00,2020,Thursday,07/08/20 9:00,95321128150,953211,206121620,,II,Coplogic Initial,true,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,SPEAR ST \ FOLSOM ST,23607000,Southern,Financial District/South Beach,6,37.7900698,-122.390971,"(37.79006979947905, -122.39097101886335)",30,1,10,8,,,,,1,1
16/08/20 12:45,16/08/20,12:45,2020,Sunday,16/08/20 14:58,95332006244,953320,200492532,202291836,II,Initial,,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,COLUMBUS AVE \ BEACH ST,25598000,Central,Russian Hill,2,37.80678011,-122.4195772,"(37.806780111468534, -122.4195772441978)",99,6,6,32,,,,,,1
16/08/20 13:30,16/08/20,13:30,2020,Sunday,16/08/20 16:50,95333771000,953337,200492827,202292184,II,Initial,,71000,Lost Property,Lost Property,Lost Property,Open or Active,04TH ST \ LONG BRIDGE ST,34168000,Southern,Mission Bay,6,37.77346692,-122.3914343,"(37.773466920607476, -122.39143433652146)",34,1,10,4,,,,,,1
14/08/20 0:00,14/08/20,0:00,2020,Friday,14/08/20 10:06,95322806224,953228,206121410,,II,Coplogic Initial,true,6224,Larceny Theft,Larceny - From Vehicle,"Theft, From Unlocked Vehicle, >$950",Open or Active,BAKER ST \ POST ST,26814000,Richmond,Presidio Heights,5,37.78389737,-122.4429891,"(37.783897366524386, -122.44298910619567)",103,8,11,31,,,,,,1
18/07/20 13:55,18/07/20,13:55,2020,Saturday,16/08/20 18:00,95337209024,953372,200493063,202292466,II,Initial,,9024,Fraud,Fraud,"Fraudulent Game or Trick, Obtaining Money or Property",Open or Active,GOUGH ST \ FELL ST,25916000,Northern,Hayes Valley,5,37.77594986,-122.4227876,"(37.77594986170828, -122.42278763487914)",22,4,11,9,1,,,,,1
15/08/20 20:50,15/08/20,20:50,2020,Saturday,15/08/20 21:02,95316461030,953164,200491277,202283353,II,Initial,,61030,Other,Other,"Death Report, Cause Unknown",Open or Active,CALEDONIA ST \ 16TH ST,24184000,Mission,Mission,9,37.76494789,-122.4213815,"(37.76494788696337, -122.42138147669485)",53,3,2,20,3,,,,,2
16/08/20 0:29,16/08/20,0:29,2020,Sunday,16/08/20 0:29,95317007041,953170,200491506,202290072,VI,Vehicle Initial,,7041,Recovered Vehicle,Recovered Vehicle,"Vehicle, Recovered, Auto",Open or Active,08TH ST \ GROVE ST \ HYDE ST \ MARKET ST,24429000,Tenderloin,Tenderloin,6,37.77871943,-122.4147412,"(37.77871942789032, -122.4147412230519)",21,5,10,36,1,35,1,,,2
16/08/19 8:40,16/08/19,8:40,2019,Friday,16/08/20 9:37,95328528150,953285,200492112,202290898,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,CONTINUUM WAY \ GOLDEN GATE AVE,24932000,Tenderloin,Tenderloin,6,37.78175909,-122.4146831,"(37.78175909075511, -122.41468313321063)",21,5,10,36,1,,1,,,2
16/08/20 3:14,16/08/20,3:14,2020,Sunday,16/08/20 3:15,95319704083,953197,200491675,202290314,II,Initial,,4083,Assault,Aggravated Assault,"Firearm, Discharging in Grossly Negligent Manner",Open or Active,23RD ST \ CAROLINA ST,33046000,Bayview,Potrero Hill,10,37.75469184,-122.3995796,"(37.75469183949377, -122.39957958699718)",54,2,9,26,,,,,,2
16/08/20 13:00,16/08/20,13:00,2020,Sunday,16/08/20 13:59,95331161030,953311,200492441,202291608,II,Initial,,61030,Other,Other,"Death Report, Cause Unknown",Open or Active,NATOMA ST \ 08TH ST,24302000,Southern,South of Market,6,37.77666099,-122.412158,"(37.77666098665174, -122.41215795469684)",32,1,10,34,1,,1,,,2
16/08/20 17:44,16/08/20,17:44,2020,Sunday,16/08/20 17:50,95338806242,953388,200493013,202292362,II,Initial,,6242,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $50-$200",Open or Active,24TH ST \ HAMPSHIRE ST,23954000,Mission,Mission,9,37.75290661,-122.4072912,"(37.75290661105615, -122.40729118425897)",53,3,2,20,3,,,,,1
15/08/20 22:27,15/08/20,22:27,2020,Saturday,15/08/20 22:27,95315665010,953156,200491352,202283601,II,Initial,,65010,Traffic Violation Arrest,Traffic Violation Arrest,Traffic Violation Arrest,Cite or Arrest Adult,COUNTRY CLUB DR \ END,23317000,Taraval,Sunset/Parkside,7,37.73010338,-122.4950224,"(37.73010337968716, -122.49502236875811)",43,10,8,35,,,,,,1
16/08/20 6:15,16/08/20,6:15,2020,Sunday,16/08/20 6:21,95326111012,953261,200491841,202290591,II,Initial,,11012,Stolen Property,Stolen Property,"Stolen Property, Possession with Knowledge, Receiving",Cite or Arrest Adult,STOCKTON ST \ POST ST,24908000,Central,Financial District/South Beach,3,37.78849948,-122.4067711,"(37.788499477941336, -122.4067711451779)",19,6,3,8,,,,,,2
16/08/20 11:30,16/08/20,11:30,2020,Sunday,16/08/20 11:42,95329028150,953290,200492178,202291226,II,Initial,,28150,Malicious Mischief,Vandalism,"Malicious Mischief, Vandalism to Property",Open or Active,GRENARD TER \ GREENWICH ST,30062000,Northern,Russian Hill,2,37.8006012,-122.4228938,"(37.80060119948848, -122.42289378669996)",107,4,6,32,,,,,,1
15/08/20 22:57,15/08/20,22:57,2020,Saturday,15/08/20 23:12,95316616650,953166,200491459,202283751,II,Initial,,16650,Drug Offense,Drug Violation,Methamphetamine Offense,Cite or Arrest Adult,MARKET ST \ RESERVOIR ST,25877000,Mission,Castro/Upper Market,8,37.7687705,-122.4274621,"(37.76877049785351, -122.42746205880601)",28,3,5,5,5,,,,,1
14/08/20 15:00,14/08/20,15:00,2020,Friday,14/08/20 20:12,95321806244,953218,206121482,,II,Coplogic Initial,true,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,,,Richmond,,,,,,,,,,,,,,,
15/07/20 17:34,15/07/20,17:34,2020,Wednesday,16/08/20 10:00,95334606364,953346,200492582,202291946,II,Initial,,6364,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, >$950",Cite or Arrest Adult,TAYLOR ST \ NORTH POINT ST,25592000,Central,North Beach,3,37.80634343,-122.4154316,"(37.8063434285485, -122.41543157088526)",99,6,3,23,,,,,,2
16/08/20 15:47,16/08/20,15:47,2020,Sunday,16/08/20 15:49,95336406244,953364,200492667,202292013,II,Initial,,6244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,HEMLOCK ST \ LAGUNA ST,26523000,Northern,Japantown,5,37.78624658,-122.4282415,"(37.786246576578144, -122.42824149689217)",101,4,11,15,,,,,,2
27/07/20 13:25,27/07/20,13:25,2020,Monday,16/08/20 10:00,95331706363,953317,200449135,,IS,Initial Supplement,,6363,Larceny Theft,Larceny Theft - Shoplifting,"Theft, Shoplifting, $200-$950",Cite or Arrest Adult,TAYLOR ST \ NORTH POINT ST,25592000,Central,North Beach,3,37.80634343,-122.4154316,"(37.8063434285485, -122.41543157088526)",99,6,3,23,,,,,,2
16/08/20 2:45,16/08/20,2:45,2020,Sunday,16/08/20 2:46,95319304134,953193,200491631,202290278,II,Initial,,4134,Assault,Simple Assault,Battery,Open or Active,16TH ST \ MISSION ST,24170000,Mission,Mission,9,37.76505134,-122.419669,"(37.76505133632968, -122.41966897380142)",53,3,2,20,3,50,,24,,2
16/08/20 5:44,16/08/20,5:44,2020,Sunday,16/08/20 5:48,95322328100,953223,200491772,202290541,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,30TH ST \ MISSION ST,21329000,Ingleside,Bernal Heights,9,37.7423754,-122.4219688,"(37.74237539724614, -122.42196876280964)",83,9,2,2,,,,,,1